achichuk.jpg	Tomato cucumber onion salad
ayran.jpg	Ayran yogurt drink
chizkeyk.jpg	Classic cheesecake slice
choy.jpg	Black tea teapot cup
chuchvara-sho-rva.jpg	Dumpling soup
dimlama.jpg	Meat potato vegetable stew
grekcha-salat.jpg	Greek salad
kartoshka-fri.jpg	French fries
ko-k-choy.jpg	Green tea teapot cup
kompot.jpg	Fruit compote drink glass
lag-mon.jpg	Lagman noodle soup
lavlagi-salati.jpg	Beetroot salad
limonad.jpg	Lemonade glass pitcher
manti.jpg	Manti steamed dumplings
margarita-pizza.jpg	Margherita pizza
mastava.jpg	Rice soup beef vegetables
medovik.jpg	Honey layer cake slice
meva-likopi.jpg	Fresh fruit platter
mol-go-shtli-burger.jpg	Beef hamburger
moshxo-rda.jpg	Mung bean soup bowl
napoleon.jpg	Napoleon cake slice
olivye.jpg	Olivier salad
osh.jpg	Uzbek plov osh
pepperoni-pizza.jpg	Pepperoni pizza
qozon-kabob.jpg	Roast meat potatoes plate
sezar-salati.jpg	Caesar salad chicken
sho-rva.jpg	Shurpa meat vegetable soup
somsa.jpg	Samsa baked pastry
tovuq-burger.jpg	Chicken burger
tovuq-shaurma.jpg	Chicken shawarma wrap
